Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
ZHX2,10.04402434,1.524306394,0.49757542,3.063468033,0.002187876,0.027016494,MS
AC009690.2,1.249897649,1.689526289,0.551098516,3.065742769,0.0021713,0.026973906,LBD
B3GAT2,3.618341694,1.267949147,0.413628231,3.065431832,0.002173559,0.026973906,LBD
CTD-2515A14.1,0.797460355,2.178523425,0.848355119,2.567938092,0.010230543,0.026928394,AD
LINC01684,3.210441847,2.163840588,0.716158853,3.021453381,0.002515644,0.026906066,Epilepsy
PKD1L3,0.552678897,1.211444794,0.471679824,2.568362548,0.010218023,0.026905128,AD
RNASEH2A,0.550235942,1.199037002,0.466848404,2.568364789,0.010217957,0.026905128,AD
TMEM132D,3.66984967,1.007724862,0.392346402,2.568457,0.010215238,0.026905128,AD
SMPD4,4.46295166,1.340848452,0.437348047,3.065861299,0.00217044,0.026847477,MS
RAB42,0.703923204,2.970208178,0.968713855,3.066135747,0.002168448,0.026846029,MS
TMTC4,3.609313821,1.510311645,0.492480595,3.06674346,0.002164045,0.026837905,MS
QTRTD1,2.555059187,1.723220955,0.670489713,2.570093056,0.01016712,0.026814564,AD
LARP7,14.64737341,1.026721468,0.334715074,3.067449147,0.002158942,0.02679782,MS
PMAIP1,0.432674102,1.131302009,0.439954261,2.571408236,0.010128585,0.026735775,AD
RP11-182L21.6,0.828873888,1.957623845,0.760888788,2.572812054,0.010087597,0.026638472,AD
KIAA1755,0.887576925,1.657346789,0.539718363,3.070762274,0.002135131,0.02662569,LBD
CYP3A5,1.114231754,1.299304982,0.423145644,3.070585742,0.002136393,0.02662569,LBD
FAM175B,2.192080476,1.752996966,0.681268288,2.573137482,0.010078116,0.026623055,AD
PCNA,2.301408302,1.187131543,0.38643086,3.072041253,0.002126003,0.02656414,LBD
SMC1B,0.914369242,1.489189153,0.491981207,3.026922842,0.00247057,0.0265547,Epilepsy
CTD-3131K8.2,1.951685502,1.761345472,0.684001005,2.575062698,0.010022192,0.026523248,AD
ABHD14B,1.331992198,2.389260994,0.777774925,3.071918259,0.00212688,0.0264596,MS
PHACTR3,2.974548661,1.332021162,0.433235997,3.074585612,0.002107952,0.02643399,LBD
LINC01060,0.778157767,1.946547932,0.632917862,3.075514292,0.002101399,0.02639205,LBD
TUG1,7.85771159,1.415694085,0.548836629,2.579445338,0.009895912,0.026284218,AD
AC011287.1,0.919351203,2.05395366,0.677358255,3.032300327,0.002426976,0.026253114,Epilepsy
RALYL,8.41474042,1.629831132,0.529563479,3.077687939,0.002086132,0.026233486,LBD
ZNF665,2.093899,1.118826252,0.363542447,3.077567038,0.002086979,0.026233486,LBD
MTG1,4.075492957,1.588568663,0.615430705,2.581230755,0.009844875,0.026186723,AD
ALKBH7,3.035328478,1.925680493,0.626024298,3.076047524,0.002097644,0.026127525,MS
CSGALNACT2,5.426901486,1.160871507,0.377315839,3.076657236,0.002093359,0.02609684,MS
NUF2,1.397814329,1.385814456,0.449805531,3.080919112,0.002063627,0.026062272,LBD
ARG2,2.952980491,1.16145851,0.376902448,3.081589193,0.002058988,0.026060903,LBD
PPP1CB,13.23524946,1.111677219,0.361239885,3.077393347,0.002088195,0.02605515,MS
PHGDH,1.433056165,2.501560048,0.812749011,3.077899838,0.00208465,0.026033585,MS
37469,9.506530364,1.156175881,0.375584947,3.078333914,0.002081615,0.026018374,MS
RTL8C,2.955789,2.876183745,0.933798472,3.080090437,0.002069377,0.025919208,MS
MPP1,6.520698966,1.481895175,0.481063794,3.080454598,0.002066849,0.025919208,MS
RBX1,11.97139064,1.105443968,0.358911326,3.079991874,0.002070062,0.025919208,MS
HIST1H1E,2.506254034,1.17074655,0.452780846,2.585680383,0.0097187,0.025893509,AD
ICT1,1.084117943,1.89506094,0.732737632,2.586274893,0.009701952,0.025858311,AD
TTYH3,7.760955404,1.211401687,0.393016027,3.082321341,0.00205393,0.02578483,MS
FHAD1,2.87186996,1.760216727,0.571000035,3.082691102,0.00205138,0.025775406,MS
FAM127B,2.719017783,1.771182299,0.684504386,2.587539735,0.009666405,0.025772965,AD
CD74,255.592773,1.165010198,0.377829963,3.083424586,0.00204633,0.025734527,MS
ESR2,1.834562625,1.67684365,0.543334931,3.086206234,0.002027282,0.025734494,LBD
CD59,5.334267322,2.652452168,0.860101578,3.083882457,0.002043183,0.025717534,MS
GK-AS1,1.351605905,1.138700461,0.439435805,2.59127829,0.009562013,0.025564571,AD
SMC1B,0.914369242,1.401699488,0.453558131,3.090451677,0.001998523,0.02553426,LBD
IPO13,2.71911247,1.842888297,0.597066143,3.086573102,0.002024782,0.025530784,MS
RP11-727F15.9,0.312197021,2.209343606,0.852299915,2.592213804,0.009536049,0.025509148,AD
KIAA1211,1.970152496,1.911991281,0.627996263,3.044590221,0.002329975,0.025475625,Epilepsy
RP11-51J9.5,0.9677317,1.851144589,0.713905083,2.592984183,0.009514715,0.025475387,AD
PHF19,1.799746341,1.079897131,0.349231957,3.092205932,0.00198675,0.025455122,LBD
TINF2,2.853413488,2.047787507,0.663107614,3.088167688,0.002013948,0.025416555,MS
RP1-187B23.1,0.583941094,1.99156055,0.767664077,2.594312552,0.009478028,0.025405077,AD
AL122035.1,0.833858474,1.680135411,0.543060088,3.093829665,0.001975909,0.025338432,LBD
AARSD1,2.08670958,2.459361129,0.946630789,2.598015148,0.009376436,0.025206715,AD
RGS6,4.445450167,2.174888444,0.662242348,3.284127708,0.001022986,0.02518269,COVID-19
GTF2B,7.883712698,1.04744788,0.338842142,3.091256225,0.001993116,0.025175828,MS
SDC2,2.02677345,2.161707752,0.699023925,3.092466044,0.001985009,0.025095565,MS
PDK4,15.46514138,1.829437552,0.591518985,3.092779098,0.001982917,0.025091254,MS
MDFIC,0.584404935,3.05619517,0.988068534,3.093100393,0.001980771,0.025086265,MS
SLC25A24,4.588808006,1.11895232,0.361748587,3.093176755,0.001980262,0.025086265,MS
FLVCR1-AS1,0.969169271,1.951073651,0.750257435,2.60053891,0.009307746,0.025054307,AD
PLAT,4.535281184,1.291506364,0.423149296,3.052129297,0.002272242,0.025052799,Epilepsy
SLC16A9,1.013184493,2.003028247,0.646584766,3.097858705,0.001949243,0.025031708,LBD
U91319.1,1.037425388,1.902693591,0.614227561,3.097701427,0.001950278,0.025031708,LBD
C21orf59,1.623141799,2.310320911,0.887934091,2.601905854,0.00927073,0.024963861,AD
SGCZ,4.163782968,1.712326298,0.55241451,3.099712748,0.001937084,0.024949984,LBD
AL445472.1,1.109392697,3.218669285,1.039286773,3.096998218,0.00195491,0.024868684,MS
AF117829.1,1.258704512,1.817962939,0.594104897,3.060003291,0.002213346,0.02460729,Epilepsy
LINC00958,1.273529833,1.653977206,0.540408911,3.060603134,0.002208917,0.024580075,Epilepsy
DCDC1,1.397305892,1.071082141,0.410550406,2.608893151,0.00908356,0.024573013,AD
C7orf49,1.931588118,1.698393025,0.650945988,2.609115128,0.00907767,0.02456617,AD
MINA,2.045931139,1.871942582,0.717328025,2.609604694,0.00906469,0.024540131,AD
BAIAP2L2,1.611876718,3.313328666,0.926318815,3.576877217,0.000347723,0.024473591,ASD
AC239800.2,0.393626779,2.541724554,0.817937713,3.107479353,0.001886902,0.024432786,LBD
AC009505.2,0.533493188,2.258093844,0.863863447,2.613947669,0.008950274,0.024279266,AD
RPL23,21.56403577,1.417957337,0.456619261,3.105338423,0.001900614,0.02426417,MS
RNASEH1,2.089671511,1.013295244,0.387537281,2.614703907,0.008930484,0.024245351,AD
SPATA1,2.169924713,1.788220733,0.574896763,3.110507568,0.001867661,0.024239379,LBD
SULT1C2,1.201339428,2.789900492,0.898214586,3.106051198,0.001896039,0.024227351,MS
TAF13,2.06426352,1.653682539,0.53210957,3.107785753,0.001884947,0.024107121,MS
TMED7,2.454147867,2.17729561,0.831892329,2.617280547,0.008863346,0.024100279,AD
CTB-179K24.3,0.520979127,2.366510052,0.903822784,2.61833414,0.008836024,0.024059197,AD
RP11-580I16.2,0.951568771,2.138784709,0.816691374,2.618840822,0.008822911,0.024027968,AD
NEDD4,3.058474467,1.746480312,0.561630427,3.109661139,0.001873021,0.023976006,MS
CNNM2,8.81691601,1.282015008,0.412229426,3.109955109,0.001871158,0.023973582,MS
RASA4,3.041924966,2.783127173,1.061956403,2.620754641,0.008773538,0.023911531,AD
TMEM55B,2.947318227,1.867902295,0.712442259,2.62182973,0.008745911,0.023844923,AD
LSAMP,24.98533272,1.747955864,0.560610905,3.117948379,0.001821147,0.023792089,LBD
GPC6,3.072066821,1.693122374,0.542981239,3.118196823,0.001819612,0.023792089,LBD
NPAS3,24.27884839,1.633818497,0.524847638,3.11293865,0.001852345,0.023765616,MS
COX6B1,11.67755207,1.571102652,0.50472461,3.112791848,0.001853267,0.023765616,MS
CA5A,0.516200437,1.080858784,0.412016145,2.623340852,0.008707211,0.023757134,AD
GRIP1,4.150177568,1.498094131,0.480236342,3.119493464,0.001811623,0.023731285,LBD
AC068888.1,2.225321829,2.00819423,0.643605583,3.120224998,0.001807129,0.023714924,LBD
RP11-147L13.11,1.985574581,2.082876083,0.793542375,2.62478243,0.008670435,0.023683313,AD
GNG10,2.400032131,1.588286038,0.604951876,2.625475018,0.008652816,0.023661712,AD
LINC01678,1.859337049,2.11708877,0.687782156,3.078138552,0.00208298,0.023606594,Epilepsy
C18orf8,2.609235469,1.778621246,0.677191483,2.626467241,0.00862763,0.023597253,AD
TMEM131L,1.894294402,1.845231533,0.599353131,3.078705084,0.002079024,0.023583515,Epilepsy
YAE1D1,2.611817637,1.038375841,0.3950177,2.628681807,0.008571652,0.023494205,AD
CRIM1,2.567536895,1.048006213,0.335434149,3.124327728,0.001782118,0.023492145,LBD
LINC00472,1.463406053,2.319905036,0.698564976,3.320958129,0.00089709,0.023477812,COVID-19
RP11-398K22.12,1.466404695,1.777811465,0.675637155,2.63131098,0.008505617,0.023355299,AD
EBP,1.538921378,1.482686194,0.473864261,3.128925971,0.001754465,0.023253422,LBD
SEPT4,3.709017748,2.46217678,0.789087301,3.120284382,0.001806765,0.023252565,MS
CDC25C,0.449842642,1.904645222,0.608637961,3.129356603,0.001751896,0.023240437,LBD
SMTN,1.058418063,1.425567251,0.45551951,3.129541591,0.001750793,0.023240437,LBD
ZNF605,1.507749602,2.580029573,0.979546649,2.633901688,0.008440992,0.023213968,AD
RBM34,0.78380002,1.764012412,0.66967627,2.634127103,0.00843539,0.023212191,AD
AC090907.2,1.440110164,1.925144305,0.614941664,3.130612901,0.001744419,0.023183333,LBD
COL16A1,1.514209028,1.808627949,0.577680368,3.130845445,0.001743039,0.023183333,LBD
CTNNA2,14.01528056,1.71451767,0.547580272,3.131080058,0.001741647,0.023183333,LBD
GPSM2,2.906553397,1.074266907,0.343009402,3.131887644,0.001736863,0.023183333,LBD
TSPAN15,5.612769585,1.227805081,0.393179535,3.122759382,0.001791642,0.023078663,MS
CDH4,2.050113782,1.571215878,0.501308684,3.134228324,0.001723067,0.023067363,LBD
CTC-459F4.3,0.627349321,2.26358454,0.858459845,2.636797229,0.008369284,0.023063255,AD
TTLL11,4.002900931,1.525349973,0.488203297,3.124415552,0.001781587,0.022969798,MS
AC011287.1,0.919351203,2.377956806,0.712827555,3.335949612,0.000850086,0.02296393,COVID-19
FLJ27354,1.184728431,1.812005808,0.685868282,2.641915155,0.00824387,0.022812255,AD
RP11-218M22.1,1.061103066,1.930744625,0.730707789,2.642293753,0.00823466,0.022795398,AD
TEX14,2.490427685,1.595752526,0.508250185,3.139698861,0.001691216,0.022737058,LBD
PARD3,3.185181901,1.61466147,0.514097077,3.140771546,0.001685034,0.022698489,LBD
VWA8,9.702141631,1.524390764,0.487294673,3.128272992,0.001758368,0.022690865,MS
KANK1,3.139309387,1.1183115,0.355972927,3.141563343,0.001680485,0.022678458,LBD
AK5,6.903293399,2.229800733,0.712643695,3.128913858,0.001754537,0.022661851,MS
AL157871.4,0.448263149,1.955188369,0.622204535,3.142356345,0.001675939,0.022643768,LBD
EPB41L5,5.860084144,1.365199089,0.436148585,3.130123848,0.001747326,0.02258908,MS
ZUFSP,2.324795889,1.7781525,0.671799766,2.646848943,0.008124564,0.02255469,AD
KIF14,0.841884114,1.822792159,0.579798591,3.143836822,0.001667484,0.022550368,LBD
TMEM132D,3.66984967,1.867159096,0.602566509,3.09867719,0.001943867,0.022516582,Epilepsy
AC123912.1,0.652579363,3.098714567,0.989354214,3.132057782,0.001735857,0.022461081,MS
PLOD1,4.109073396,1.650005839,0.526663741,3.132939885,0.001730649,0.022413937,MS
WDFY1,7.626145221,1.521030114,0.48533952,3.133950672,0.001724698,0.022357087,MS
CYB5R1,4.180904377,1.543962394,0.492474626,3.135110544,0.001717894,0.022289047,MS
PRC1,0.976075975,1.716170136,0.647101267,2.652088973,0.007999546,0.022275307,AD
ATP5MG,2.428864166,2.186638553,0.694380514,3.149049417,0.001638025,0.022234249,LBD
AC010642.2,0.697412705,1.961177494,0.622666411,3.149643948,0.001634696,0.022209679,LBD
ERH,6.721822936,1.495360722,0.47669263,3.136949529,0.001707155,0.0221698,MS
CSF2RA,47.06184719,1.126673918,0.362751318,3.105912678,0.001896927,0.0221585,Epilepsy
EGR3,1.654682597,1.846549686,0.594270123,3.107256473,0.001888325,0.022091949,Epilepsy
RTF2,1.523891975,1.792361826,0.576828051,3.107272301,0.001888224,0.022091949,Epilepsy
RPL41,41.86555484,1.853055002,0.590431615,3.138475235,0.001698293,0.022084646,MS
SPTBN1,9.722533759,1.632159568,0.520070396,3.138343543,0.001699056,0.022084646,MS
CECR5,2.966440821,1.76456054,0.66427207,2.656382257,0.007898403,0.022065115,AD
MAGI2,27.20463094,2.527737506,0.8052181,3.139196083,0.00169412,0.022060528,MS
RANBP17,3.18045264,2.224828002,0.708637026,3.139587576,0.001691858,0.022051118,MS
ZNF385D,4.784066604,1.029827583,0.326579497,3.153374885,0.001613944,0.022030109,LBD
PEX3,5.090191638,1.280333583,0.407681544,3.140523782,0.00168646,0.022000779,MS
WDHD1,1.496967739,1.174488041,0.37237414,3.154053722,0.001610194,0.021999469,LBD
AC017101.10,1.440603369,2.944183528,1.106923556,2.65978939,0.007818953,0.021875927,AD
S100A1,2.752353448,1.01565296,0.381853745,2.65979573,0.007818806,0.021875927,AD
LINC01317,1.212831255,3.764120017,1.197730805,3.142709531,0.001673919,0.021857074,MS
NORAD,5.035734721,2.997393572,0.953672801,3.142999958,0.001672259,0.021855322,MS
HAUS4,1.960822211,1.471551821,0.553105219,2.660527816,0.007801828,0.021849603,AD
PIGT,5.941994902,1.368342796,0.43498213,3.145744853,0.001656645,0.021698811,MS
YWHAQ,11.22046787,1.06894475,0.339818175,3.145637368,0.001657253,0.021698811,MS
ARHGEF2,12.82749143,1.068222904,0.339579066,3.145726611,0.001656748,0.021698811,MS
RTL8A,1.432398127,2.98638936,0.949009277,3.14684949,0.001650399,0.021691954,MS
OTUD7B,2.330892323,2.128223302,0.676370903,3.146532905,0.001652187,0.021691954,MS
ATP6V1F,11.21063683,1.602126684,0.509067626,3.147178493,0.001648543,0.021691954,MS
RSL1D1,5.108263045,1.481620809,0.470834846,3.146795146,0.001650706,0.021691954,MS
KIF15,0.86694787,1.040651411,0.390662106,2.663814572,0.007726014,0.021674649,AD
TAPBP,14.7170574,1.116814165,0.354700487,3.148611879,0.001640479,0.021617501,MS
SOWAHD,1.019039674,1.001695748,0.37586836,2.66501748,0.007698432,0.021613862,AD
Z83844.1,1.389902204,1.366431902,0.512519626,2.666106495,0.007673538,0.021552249,AD
RP11-1114A5.4,0.943379968,1.816614922,0.681196223,2.666801224,0.007657695,0.021514253,AD
RP11-192H23.6,0.326098539,2.542863769,0.95340196,2.667147621,0.007649806,0.021497985,AD
CR1L,0.873603832,1.068062953,0.4002924,2.668206922,0.007625728,0.021444932,AD
AC002480.3,1.165164932,1.382489946,0.517958092,2.669115449,0.00760513,0.0214101,AD
RYR2,8.723861307,2.179720241,0.647107835,3.368403415,0.000756049,0.021408069,COVID-19
TCFL5,1.066613187,1.709400622,0.542350455,3.151837723,0.001622464,0.021405834,MS
SNED1,2.225260564,2.278240266,0.722598795,3.152842602,0.00161689,0.021385344,MS
LIMA1,5.110641565,1.418268484,0.449817703,3.152985032,0.001616101,0.021385344,MS
ALDH1A2,3.713628331,2.415377215,0.765868671,3.153774669,0.001611735,0.021376379,MS
DENND6A-AS1,2.115820917,1.107270006,0.414682109,2.670165848,0.007581379,0.021367299,AD
FGD5,0.590863892,1.275057852,0.477460244,2.670500566,0.007573824,0.021350123,AD
PHACTR3,2.974548661,2.149824042,0.681504471,3.154526689,0.001607587,0.021348482,MS
CTD-2353F22.1,1.16404469,2.091899124,0.782225368,2.674292101,0.007488719,0.021169637,AD
ABHD11,4.328469083,1.220404668,0.390381595,3.126183929,0.001770908,0.021157685,Epilepsy
SEPN1,1.887540073,2.417799545,0.903907323,2.67483124,0.007476688,0.021141527,AD
RPS3,38.34699737,1.501397054,0.475327945,3.158655136,0.001584989,0.021099801,MS
ZFPL1,2.580076894,1.821232491,0.576432896,3.159487434,0.001580469,0.0210592,MS
ACP5,0.518139102,3.133237141,0.991603625,3.159767735,0.00157895,0.021058541,MS
AC159540.1,2.576541341,1.829755904,0.683588898,2.676690492,0.007435329,0.021051744,AD
PIGBOS1,0.860100614,1.770489306,0.661457923,2.67664691,0.007436296,0.021051744,AD
CECR1,4.795919566,1.843198948,0.688581129,2.676807234,0.007432738,0.021049826,AD
FGR,4.10458897,1.913055668,0.605348714,3.160253957,0.001576317,0.021043021,MS
THSD7A,1.859146006,1.584590939,0.499824598,3.170294032,0.001522848,0.021014999,LBD
RP11-656D10.3,0.957407257,2.12354774,0.792710819,2.67884289,0.007387705,0.020946636,AD
LRRC63,1.091201969,2.487103957,0.786356011,3.162821831,0.001562479,0.020910357,MS
C1QTNF6,1.088368265,1.882793734,0.595323583,3.162639258,0.001563459,0.020910357,MS
SLC35F1,6.259802167,1.10455138,0.412200468,2.679646106,0.007370003,0.020904555,AD
CDC7,1.426087569,1.145625911,0.361143939,3.172214141,0.001512814,0.020903431,LBD
FAM50B,0.793334322,1.320643837,0.492800572,2.679874804,0.00736497,0.020894333,AD
AC009264.1,0.851753264,1.14771132,0.428122607,2.680800552,0.007344628,0.020840666,AD
CTD-3116E22.8,0.702042264,2.317874085,0.864290877,2.681821766,0.007322246,0.020793301,AD
TMEM232,4.083892575,1.133482205,0.357070127,3.174396621,0.001501484,0.020786164,LBD
EMX2,0.70354008,2.470735867,0.778226366,3.174829299,0.001499247,0.02077487,LBD
AC007038.7,2.569015552,1.87440532,0.698443199,2.683690418,0.00728145,0.020705605,AD
LINC01235,0.492206533,3.739376485,1.18052247,3.167560619,0.001537237,0.020675471,MS
SLC27A4,6.89105001,1.3697174,0.431070076,3.177481981,0.001485599,0.020644463,LBD
TECR,9.056205383,1.420740783,0.448415926,3.168354868,0.001533043,0.020638443,MS
GLDN,59.74259651,1.193133078,0.376543328,3.168647504,0.0015315,0.020637072,MS
CARKD,1.624337821,1.799853696,0.670215173,2.685486347,0.007242433,0.020622162,AD
DPM1,6.154010787,1.085582685,0.342408026,3.170435865,0.001522104,0.020529776,MS
MAP4K3,20.35484935,1.237518427,0.390263711,3.170980013,0.001519256,0.020510671,MS
TNFRSF12A,2.178522966,1.579783053,0.503437993,3.137989339,0.001701111,0.020500944,Epilepsy
RTF2,1.523891975,2.584578745,0.814865982,3.171783827,0.001515057,0.020473285,MS
N4BP1,9.792502991,1.495347149,0.471283147,3.17292727,0.001509103,0.020412082,MS
PPP6C,7.09979755,1.042829108,0.328538211,3.174148621,0.001502767,0.020364842,MS
PPP2R2B,20.03919931,2.548359108,0.802773672,3.174442807,0.001501245,0.020363475,MS
SNHG9,6.405882888,1.938538853,0.610568292,3.174974656,0.001498496,0.020363475,MS
RQCD1,2.864987898,1.938145795,0.720124818,2.691402582,0.007115228,0.020351695,AD
CCNF,0.802479672,1.050753656,0.390337111,2.69191329,0.007104341,0.020328512,AD
TNFAIP8L2,1.95451979,2.568999331,0.954234865,2.692208621,0.007098053,0.020318472,AD
GSDME,1.710446696,1.835918907,0.576881394,3.182489373,0.001460149,0.020310099,LBD
SMCR5,2.00129828,1.255712298,0.39450341,3.183020137,0.001457475,0.020305778,LBD
AC063944.1,0.623552585,3.389227451,1.067096235,3.176121647,0.001492583,0.020303671,MS
ARFGEF2,12.71547345,1.119508693,0.352440796,3.176444683,0.001490922,0.020300351,MS
THSD4,1.539369297,1.147628047,0.426064177,2.693556769,0.007069411,0.02025582,AD
RPS17,16.32075735,2.594793881,0.815855676,3.180456981,0.00147043,0.020078584,MS
AC138150.1,1.349832665,1.975655164,0.627943659,3.146229976,0.001653899,0.020059131,Epilepsy
AC005726.5,0.808672645,2.448443606,0.767727227,3.189210333,0.00142662,0.020053618,LBD
ELL2,46.6745836,1.297863942,0.407912652,3.18172024,0.001464032,0.020010295,MS
ZDHHC19,1.309774374,1.380984394,0.438704202,3.147871361,0.001644641,0.019994104,Epilepsy
RP11-475E11.9,0.739040216,1.947588051,0.721340042,2.699958325,0.006934816,0.019968501,AD
ESR2,1.834562625,2.695897803,0.847055492,3.182669644,0.00145924,0.019963853,MS
SPDYE3,3.235544532,1.659438595,0.526935693,3.149224121,0.001637046,0.019934213,Epilepsy
CTD-2260A17.2,0.719622595,2.051898101,0.759725175,2.700842579,0.006916407,0.01992334,AD
TMEM179B,5.537614345,1.519311036,0.477197353,3.183821175,0.001453448,0.019903619,MS
TNFSF12,2.204554314,2.470690775,0.914419482,2.701922722,0.006893978,0.019866562,AD
DNAH7,1.37706209,1.643832787,0.514702444,3.193753606,0.001404359,0.019789749,LBD
LINC01482,1.205550165,1.502809941,0.470527708,3.193881921,0.001403735,0.019789749,LBD
PCBP4,2.037878288,1.660706558,0.519844539,3.194621536,0.001400143,0.019776515,LBD
RNF139,2.042145886,1.777172015,0.557565011,3.187380807,0.001435676,0.019684,MS
CHD4,8.365160195,1.855395208,0.581993548,3.187999616,0.001432607,0.019674656,MS
ARPC5,18.68074873,1.27046924,0.398413758,3.188818697,0.001428554,0.019637825,MS
HNRNPK,23.04990601,1.173052486,0.367823913,3.189168634,0.001426826,0.019632909,MS
SELO,2.656410927,1.829506557,0.675909127,2.706734507,0.006794857,0.019615723,AD
CPOX,3.142004512,1.805488457,0.565911102,3.190410029,0.001420711,0.019567558,MS
KBTBD3,2.001835996,1.616704645,0.50662334,3.191137316,0.001417139,0.019537152,MS
AC012150.1,2.080124699,2.478805221,0.723404575,3.426582173,0.000611229,0.019520673,COVID-19
RP11-840I19.3,1.06273225,2.835871603,1.046932717,2.708742938,0.006753865,0.019511837,AD
SLC26A5,1.079152127,1.630595018,0.509611395,3.199683195,0.001375787,0.019488986,LBD
AL669831.5,0.8968239,1.612171069,0.503655796,3.200938183,0.001369809,0.019423123,LBD
SORCS1,6.686807598,1.808780398,0.572470363,3.159605306,0.00157983,0.019408428,Epilepsy
RP11-708J19.1,0.503633426,1.916549579,0.70691746,2.71113629,0.006705306,0.019398837,AD
IQCK,2.379783784,1.959896645,0.613571623,3.194242648,0.001401982,0.019375617,MS
SPP1,582.9590047,1.526903963,0.477970042,3.194559972,0.001400442,0.019375617,MS
STXBP4,4.035063023,1.428553216,0.44724869,3.194091449,0.001402717,0.019375617,MS
STOX2,3.56254875,2.23138095,0.698325459,3.195330946,0.001396706,0.01937315,MS
RP11-334C17.5,1.310164099,2.308711469,0.851067997,2.712722694,0.006673293,0.019322017,AD
RP11-418J17.1,1.858616026,1.960119804,0.72226693,2.713844042,0.006650747,0.019275826,AD
ZNF688,1.84809651,1.08677966,0.33916671,3.204263944,0.001354083,0.01923745,LBD
SARNP,2.304719308,2.147054747,0.625071616,3.434894008,0.000592786,0.019235594,COVID-19
TTYH1,3.582238911,2.126827309,0.664912808,3.198655949,0.001380698,0.01921975,MS
CCDC115,2.656774082,2.074123571,0.648111553,3.200257058,0.001373051,0.019169179,MS
RP11-88I18.2,0.591003676,2.145345832,0.789821696,2.716240694,0.00660279,0.019163427,AD
GS1-124K5.11,2.08992326,1.927485005,0.709568966,2.716416723,0.00659928,0.019157043,AD
SCAMP1,8.953726696,1.016050528,0.317395421,3.201213562,0.001368501,0.019124295,MS
TMEM91,2.153262715,2.234730309,0.822356601,2.717471114,0.00657829,0.019107765,AD
TMEM189,1.937208273,2.147460689,0.790191155,2.717647087,0.006574792,0.019104928,AD
WASHC5,1.128421567,1.777832895,0.561304333,3.167324375,0.001538486,0.019085509,Epilepsy
RNF141,4.813468021,1.436731211,0.448640785,3.202408826,0.001362834,0.01906371,MS
PTBP2,21.27870373,1.17475803,0.366789277,3.202814545,0.001360916,0.019055483,MS
RP11-370I10.2,0.793886433,3.089896289,1.136182056,2.719543291,0.006537214,0.01901629,AD
DNASE1L1,3.094441496,1.711726348,0.534219473,3.204163146,0.001354557,0.018985004,MS
CTD-2336O2.1,1.361614734,2.100476769,0.771770447,2.721634103,0.006496002,0.018921111,AD
FBLIM1,0.39453174,1.313835612,0.482593976,2.722445115,0.00648008,0.018886022,AD
SLC25A43,3.31816993,1.634567358,0.509851019,3.205970565,0.001346078,0.018884638,MS
HDAC2-AS2,2.390842809,2.728518172,0.850781536,3.207072621,0.001340931,0.018860334,MS
RAMP1,5.547312648,1.741294947,0.542982974,3.206905241,0.001341712,0.018860334,MS
HNRNPUL1,10.31768788,1.173001079,0.365758697,3.20703537,0.001341105,0.018860334,MS
AF127577.4,1.053495803,1.251467331,0.459395998,2.724158104,0.006446564,0.018809461,AD
GSTM2,6.282106589,1.182954985,0.434242692,2.724179374,0.006446149,0.018809461,AD
RPL10,55.21417092,1.646992367,0.513132023,3.20968541,0.001328803,0.018768537,MS
EGFLAM,0.513802667,1.870180624,0.581990229,3.213422717,0.001311631,0.018761969,LBD
MYRIP,4.694708736,2.5817561,0.80401924,3.211062585,0.001322451,0.018702489,MS
CDR2,6.729744376,1.819295243,0.566578667,3.211019668,0.001322649,0.018702489,MS
PFDN2,9.15384353,1.387215208,0.431975386,3.211329285,0.001321224,0.018702489,MS
TAF6L,1.632477078,1.68374462,0.524125826,3.212481694,0.001315935,0.01866283,MS
NBPF11,5.474881075,1.228089238,0.382263534,3.212676933,0.001315041,0.01866283,MS
RPS10-NUDT3,0.785144476,1.0839487,0.397430569,2.727391363,0.006383727,0.01866101,AD
GAS2L3,2.642619273,1.664597226,0.518057724,3.213150097,0.001312877,0.018656393,MS
RP11-348J24.2,1.110453392,3.075578083,1.127532651,2.727706449,0.006377634,0.018646925,AD
MEGF10,2.082239549,2.278919641,0.708693484,3.215663319,0.001301434,0.01853056,MS
KLHL28,6.609064022,1.161749699,0.361256904,3.215854659,0.001300567,0.01853056,MS
TNIK,9.55152019,1.802344672,0.560133374,3.217706273,0.001292201,0.018454121,MS
SIPA1L1,30.57622316,1.051456439,0.30447641,3.45332645,0.000553718,0.018433374,COVID-19
WASHC3,1.376128695,1.810436801,0.568733581,3.183277479,0.00145618,0.018425158,Epilepsy
CH507-528H12.1,0.592457461,2.854951483,1.04433993,2.733737743,0.00626199,0.01839153,AD
ZNF320,1.999930911,1.400374452,0.512262396,2.733705349,0.006262606,0.01839153,AD
TMED9,11.92254554,1.433373494,0.445277092,3.219059588,0.001286118,0.018385577,MS
SRRM3,2.195109493,1.639815073,0.508855264,3.222556958,0.001270519,0.018383404,LBD
MGAT2,1.515386203,1.202545972,0.373113274,3.22300507,0.001268533,0.018383404,LBD
NOP10,5.257707155,1.162136416,0.360451284,3.224115068,0.001263626,0.018344539,LBD
BSG,14.14209547,1.349802621,0.419174082,3.220148091,0.001281244,0.018334204,MS
HS3ST5,2.896431498,2.685048332,0.833388202,3.221845864,0.001273676,0.018249529,MS
FAM13C,2.802671648,2.54460527,0.789818078,3.221761241,0.001274053,0.018249529,MS
