Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
HLA-E,46.0452863,1.053346634,0.358031938,2.942046568,0.003260509,0.036144646,MS
RP11-346C20.3,3.951149156,1.689871398,0.693934074,2.435204527,0.014883374,0.036142866,AD
LRRC63,1.091201969,1.436909253,0.490135866,2.931654981,0.003371611,0.036136056,LBD
UHRF1,1.638752611,1.231730852,0.420073584,2.93217879,0.003365929,0.036123881,LBD
ADGRL2,2.989749024,1.999431459,0.643946338,3.104965957,0.001903009,0.036120634,COVID-19
AC018890.6,2.3517024,2.631745823,1.080550717,2.435559738,0.014868769,0.036119398,AD
FAM60A,2.956195995,1.627664266,0.668170498,2.436001399,0.014850627,0.036099321,AD
BBOF1,1.160631152,1.17459583,0.400464286,2.9330851,0.003356119,0.03607581,LBD
RP11-463D19.1,0.746277071,2.730840484,1.120853793,2.436393132,0.014834552,0.036072242,AD
PIGS,1.101261469,2.449669707,1.005160803,2.437092355,0.014805897,0.036008553,AD
AL138828.1,0.493399358,3.310282944,1.124335104,2.944213814,0.003237762,0.035923863,MS
HECW1,2.680702607,1.328470947,0.452484955,2.935945013,0.003325333,0.035823904,LBD
MBTPS2,5.499972989,1.237424575,0.420124481,2.945376028,0.003225624,0.035816927,MS
C8orf37-AS1,4.423368192,1.925353942,0.653484248,2.946289751,0.00321611,0.035738989,MS
RP1-313I6.12,0.464228416,1.817236216,0.744468216,2.440985628,0.014647238,0.035735642,AD
RNF212B,0.571018036,1.974804303,0.672335779,2.937229233,0.003311592,0.035702187,LBD
ARHGAP42,1.829343641,1.211822241,0.412458211,2.938048528,0.003302853,0.035673004,LBD
NOD2,1.114727154,1.200453944,0.408577582,2.93812974,0.003301988,0.035673004,LBD
PSMA7,11.14607051,1.338640431,0.454210911,2.947178057,0.003206885,0.035664145,MS
TSPO,11.99920086,1.438599995,0.487913022,2.948476329,0.003193446,0.035542284,MS
UBL7,2.307454036,1.916939361,0.649862767,2.949760255,0.003180206,0.035483388,MS
SLC25A20,1.566116173,1.637021403,0.55493065,2.949956727,0.003178184,0.035483388,MS
PLA2G7,7.556729634,1.239430741,0.420252135,2.949255075,0.003185409,0.035483388,MS
SPDYA,1.031542255,1.130873612,0.384571427,2.940607477,0.003275693,0.03547212,LBD
RP11-499P20.2,0.671290513,1.827334332,0.747381776,2.444981119,0.014485973,0.035424964,AD
PPP1R16B,3.032691882,1.535247293,0.521873056,2.941802176,0.003263083,0.035361758,LBD
AC007566.10,1.496137202,1.755683148,0.717620119,2.446535573,0.014423656,0.035313923,AD
ZNF511,1.276276775,2.108511855,0.861410997,2.447741974,0.014375456,0.035237222,AD
ATP5F1C,1.281080951,2.361980309,0.799811753,2.953170293,0.003145284,0.035177743,MS
TBCB,9.063862085,1.4028414,0.47503958,2.953104246,0.003145957,0.035177743,MS
SLC25A6,14.04497811,1.609233818,0.54472634,2.954205995,0.003134747,0.035107204,MS
DCDC1,1.397305892,1.623118688,0.551175361,2.944831722,0.003231304,0.035095413,LBD
TGFBR3,0.848917732,1.682437418,0.571223737,2.945321264,0.003226195,0.035092071,LBD
PRR16,1.274590314,1.174880134,0.398750847,2.946401601,0.003214947,0.035031075,LBD
BLM,1.273940542,1.056010079,0.358420045,2.946291908,0.003216087,0.035031075,LBD
AC079385.1,0.651433426,1.874281386,0.636038156,2.946806521,0.00321074,0.035028218,LBD
AGBL5,2.521795686,1.244966031,0.422443072,2.947062253,0.003208086,0.035028218,LBD
ATP5SL,1.516628524,1.765897906,0.720404535,2.451258729,0.014235759,0.034968371,AD
JUNB,15.99940811,1.500171724,0.507279701,2.957287115,0.00310359,0.034839984,MS
RP11-197K3.1,0.761503438,2.536364305,1.033916827,2.453160871,0.014160699,0.034824879,AD
DNAJC6,8.043972889,1.999105625,0.675903798,2.957677751,0.00309966,0.034823158,MS
AC017101.1,1.397524914,1.893504709,0.641760951,2.950482893,0.003172776,0.034743681,LBD
RAB23,0.632562956,1.098355691,0.372051384,2.952161282,0.003155581,0.034659229,LBD
MRPS28,2.543049232,2.214173991,0.708452614,3.125366392,0.001775837,0.034640675,COVID-19
C10orf128,2.980586254,1.692403968,0.689163024,2.455738207,0.014059554,0.034637111,AD
ZNF451-AS1,1.219655533,1.910059112,0.646892304,2.952669402,0.003150392,0.034628252,LBD
IQCK,2.379783784,1.086346187,0.36788186,2.952975685,0.003147268,0.034619943,LBD
IL17RC,1.926498784,1.078781407,0.365280057,2.95329949,0.003143968,0.034609688,LBD
ATP5O,1.613734783,2.655867134,1.08129453,2.456192148,0.014041805,0.034599217,AD
C21orf62,0.421317512,1.161333015,0.472781033,2.456386645,0.014034207,0.034586324,AD
RPL18A,14.83551216,2.800787534,0.945937488,2.960859011,0.003067823,0.034519641,MS
COLQ,1.640044588,2.07742829,0.701483234,2.961479606,0.003061648,0.034519641,MS
TPM2,1.983368594,2.062098451,0.696399225,2.961086652,0.003065557,0.034519641,MS
DLG5,1.231017415,1.909445537,0.644760465,2.961480491,0.003061639,0.034519641,MS
SEM1,2.186497671,1.86034446,0.638135373,2.915281832,0.003553675,0.034496091,Epilepsy
ITPKB-AS1,0.915872268,1.644889057,0.564238281,2.915238319,0.00355417,0.034496091,Epilepsy
CHCHD6,5.484427116,1.007629914,0.340086106,2.962867041,0.003047882,0.034451223,MS
AC087501.1,0.432708182,1.278253007,0.520022561,2.458072212,0.013968508,0.034447642,AD
LINC02232,3.952674819,2.051431668,0.654866126,3.13259701,0.001732672,0.034412411,COVID-19
VWA1,1.810691602,1.518127219,0.513562869,2.956068889,0.003115875,0.03440406,LBD
MSMO1,4.167495033,1.679349371,0.566421361,2.964841168,0.003028392,0.03426437,MS
PHLDA1,0.919591347,2.734246821,0.921969875,2.96565744,0.003020367,0.034200583,MS
ARHGEF38,0.696884417,1.153126522,0.468380259,2.461945181,0.013818579,0.03411819,AD
KDM4A,2.286019029,1.562677125,0.634641344,2.462299596,0.01380493,0.034096007,AD
MRPS28,2.543049232,1.080357594,0.438305865,2.464848591,0.013707116,0.033911716,AD
HPF1,1.181119464,1.63982978,0.55357909,2.962232154,0.003054174,0.033902028,LBD
IL27RA,1.847050355,1.040803304,0.351239128,2.963232795,0.003044262,0.033817684,LBD
INO80D,34.59326933,1.764378867,0.507314612,3.477879065,0.000505398,0.033807954,ASD
HRAT92,0.348202766,1.680884466,0.681398408,2.466815956,0.01363204,0.033763674,AD
PDE8B,1.468388723,2.727054136,0.917931639,2.970868439,0.00296959,0.033732278,MS
GRM8,1.85153766,2.604656919,0.8762823,2.972394762,0.002954865,0.03367019,MS
LYRM2,7.045302367,1.31647085,0.442991371,2.971775379,0.002960832,0.03367019,MS
C20orf194,30.48771573,1.067146932,0.359094102,2.971775161,0.002960834,0.03367019,MS
DCP1B,5.278828588,1.055454204,0.355171144,2.971677801,0.002961773,0.03367019,MS
SVIL-AS1,3.640699348,1.387369134,0.56195995,2.468804288,0.013556534,0.033613122,AD
ZNF540,2.473518741,1.018353343,0.343356849,2.965874562,0.003018236,0.033579594,LBD
LCMT1-AS1,0.394926702,1.560060169,0.631798938,2.469235189,0.013540219,0.033579446,AD
SKAP1,0.74232029,1.098168191,0.444742288,2.469223683,0.013540655,0.033579446,AD
GAMT,2.844211772,1.656273326,0.556973529,2.973702053,0.002942306,0.033555409,MS
COPS9,2.550510716,1.920915258,0.64738761,2.967179522,0.003005454,0.033512613,LBD
THSD4-AS1,2.997132803,1.632990583,0.550435865,2.966722713,0.003009923,0.033512613,LBD
GAS2L1,1.957453467,1.073280756,0.361760592,2.966826072,0.003008911,0.033512613,LBD
CNFN,0.520877638,1.108640437,0.448756322,2.470473134,0.013493445,0.033502153,AD
ITGB2,32.87949746,1.118018487,0.375865226,2.974519617,0.002934477,0.033492787,MS
DIEXF,1.87680156,1.855148328,0.750787662,2.470936086,0.01347599,0.03348156,AD
MAD1L1,8.73501182,1.34128062,0.450772004,2.975518903,0.002924933,0.033437146,MS
DNAJC4,3.937605474,1.001651509,0.337316488,2.969470942,0.00298313,0.033417917,LBD
MB21D1,3.385938605,1.801829811,0.72853816,2.473212673,0.013390443,0.033325653,AD
DNAJC27-AS1,1.398094346,1.029501791,0.346482746,2.971293095,0.002965486,0.033245738,LBD
KCNH1,2.675453526,2.195397326,0.69691434,3.150168104,0.001631765,0.033177509,COVID-19
FAM157B,1.674349101,2.089610861,0.84425651,2.475090018,0.01332026,0.033162275,AD
APOBEC3C,0.582168434,2.254940226,0.911015066,2.475195318,0.013316333,0.033158145,AD
ANGPTL1,2.552039406,1.154691059,0.466474488,2.475357363,0.013310292,0.033148749,AD
ACSS3,1.072288214,1.760316587,0.591985585,2.973580155,0.002943475,0.033123245,LBD
PRELID3A,1.32911998,1.089654331,0.366323308,2.974570024,0.002933995,0.033119886,LBD
QRICH2,1.40483574,1.115426043,0.374912935,2.9751602,0.002928356,0.033083178,LBD
CKAP2,3.023298885,1.01339463,0.340589222,2.975416031,0.002925914,0.033081162,LBD
CROT,3.510195623,1.228337152,0.412244876,2.979629883,0.002885969,0.033070891,MS
RHBDL2,1.281018235,1.351832431,0.454208262,2.976239191,0.002918072,0.033043602,LBD
ANKRD36B,6.919109012,1.364185322,0.457704742,2.980492004,0.002877858,0.033030794,MS
